domain,Mi,apache,bsd,gpl,mit,prop,genfoss,missing,FOSS
results/it-chiba.ac.jp,98,0.826530612244898,0.0612244897959184,0,0,0.0612244897959184,0,0.0510204081632653,0.887755102040816
results/ithaca.edu,95,0.515789473684211,0.126315789473684,0,0,0.242105263157895,0,0.11578947368421,0.642105263157895
results/itmina.edu.mx,5,0.8,0,0,0,0,0,0.2,0.8
results/iubnt.yar.ru,0,NA,NA,NA,NA,NA,NA,NA,NA
results/iuj.ac.jp,39,0.0512820512820513,0.0256410256410256,0,0,0.333333333333333,0,0.58974358974359,0.0769230769230769
results/iuk.ac.kr,8,0.125,0,0,0,0,0,0.875,0.125
results/iuo.it,67,0.432835820895522,0,0,0,0.552238805970149,0,0.0149253731343284,0.432835820895522
results/iup.edu,115,0.252173913043478,0.0521739130434783,0,0,0.530434782608696,0,0.165217391304348,0.304347826086956
results/iust.ac.ir,249,0.682730923694779,0.21285140562249,0,0,0.104417670682731,0,0,0.895582329317269
results/jadara.edu.jo,4,0.75,0,0,0,0.25,0,0,0.75
results/jcsu.edu,53,0.339622641509434,0.169811320754717,0,0,0.377358490566038,0,0.113207547169811,0.509433962264151
results/jct.ac.il,83,0.506024096385542,0.144578313253012,0,0,0.289156626506024,0,0.0602409638554218,0.650602409638554
results/jic.edu.sa,3,0.666666666666667,0,0,0,0.333333333333333,0,0,0.666666666666667
results/jooust.ac.ke,9,0.888888888888889,0.111111111111111,0,0,0,0,0,1
results/jsums.edu,67,0.149253731343284,0.0149253731343284,0,0,0.701492537313433,0,0.134328358208955,0.164179104477612
results/juntendo.ac.jp,41,0.609756097560976,0.292682926829268,0,0,0.0487804878048781,0,0.0487804878048781,0.902439024390244
results/jwcc.edu,36,0.361111111111111,0.0277777777777778,0,0,0.305555555555556,0,0.305555555555556,0.388888888888889
results/jxnu.edu.cn,160,0,0.00625,0,0,0.01875,0,0.975,0.00625
results/kangnam.ac.kr,81,0.962962962962963,0.0123456790123457,0,0,0.0123456790123457,0,0.0123456790123457,0.975308641975309
results/kantiana.ru,76,0.0657894736842105,0.513157894736842,0,0,0.276315789473684,0,0.144736842105263,0.578947368421053
results/kaplan.edu,194,0.195876288659794,0.00515463917525773,0,0,0.623711340206186,0,0.175257731958763,0.201030927835052
results/kardan.edu.af,17,0,0,0,0,0.764705882352941,0,0.235294117647059,0
results/kau.ac.kr,62,0.387096774193548,0.0483870967741935,0,0,0.32258064516129,0,0.241935483870968,0.435483870967742
results/kawasaki-m.ac.jp,37,0.810810810810811,0.0810810810810811,0,0,0.108108108108108,0,0,0.891891891891892
results/kaznu.kz,91,0.120879120879121,0.0549450549450549,0,0,0.791208791208791,0,0.032967032967033,0.175824175824176
results/kbtu.kz,20,0.5,0.1,0,0,0.4,0,0,0.6
results/kckcc.edu,19,0.263157894736842,0,0,0,0.368421052631579,0,0.368421052631579,0.263157894736842
results/keiwa-c.ac.jp,10,0.8,0.2,0,0,0,0,0,1
results/kent.edu,724,0.319060773480663,0.0345303867403315,0,0,0.162983425414365,0,0.483425414364641,0.353591160220994
results/kgre.hu,2,0.5,0,0,0,0,0,0.5,0.5
results/king.edu,354,0.31638418079096,0.00564971751412429,0,0,0.587570621468927,0,0.0903954802259886,0.322033898305085
results/kku.ac.th,507,0.143984220907298,0.779092702169625,0.0019723865877712,0,0.0611439842209073,0,0.0138067061143984,0.925049309664694
results/kma.mk.ua,24,0,1,0,0,0,0,0,1
results/kmitl.ac.th,292,0.626712328767123,0.229452054794521,0,0,0.0479452054794521,0,0.0958904109589042,0.856164383561644
results/kmu.edu.tr,63,0,0,0,0,0.888888888888889,0,0.111111111111111,0
results/knupe.ac.kr,3,1,0,0,0,0,0,0,1
results/kokugakuin.ac.jp,28,0.607142857142857,0.25,0,0,0.0714285714285714,0,0.0714285714285715,0.857142857142857
results/komazawa-u.ac.jp,24,0.875,0.0416666666666667,0,0,0.0833333333333333,0,0,0.916666666666667
results/konya.edu.tr,33,0.666666666666667,0.242424242424242,0,0,0.0606060606060606,0,0.0303030303030303,0.909090909090909
results/kordofan.edu.sd,71,0.633802816901408,0,0,0,0,0,0.366197183098592,0.633802816901408
results/kornu.ac.kr,26,0.653846153846154,0.0384615384615385,0,0,0.0769230769230769,0,0.230769230769231,0.692307692307692
results/kpu.ac.jp,112,0.8125,0.125,0,0,0,0,0.0625,0.9375
results/krishnauniversity.ac.in,14,0,0,0,0,1,0,0,0
results/ksa.edu.pk,10,1,0,0,0,0,0,0,1
results/kspu.ptz.ru,0,NA,NA,NA,NA,NA,NA,NA,NA
results/ksu.ac.jp,4,0.25,0.5,0,0,0.25,0,0,0.75
results/ksu.edu.tr,324,0.0339506172839506,0.0185185185185185,0,0,0.944444444444444,0,0.00308641975308643,0.0524691358024691
results/ksw.edu.pl,36,0,1,0,0,0,0,0,1
results/kufos.ac.in,4,1,0,0,0,0,0,0,1
results/kulak.ac.be,5,1,0,0,0,0,0,0,1
results/kuleuven.ac.be,6,0.333333333333333,0.166666666666667,0,0,0.333333333333333,0,0.166666666666667,0.5
results/kunsan.ac.kr,50,0.28,0.06,0,0.02,0.04,0,0.6,0.36
results/kunstakademiet.dk,15,0,0.733333333333333,0,0,0.266666666666667,0,0,0.733333333333333
results/kustar.ac.ae,112,0.0178571428571429,0.0267857142857143,0,0,0.0714285714285714,0,0.883928571428571,0.0446428571428571
results/kwangju.ac.kr,47,0.74468085106383,0.0851063829787234,0,0,0.170212765957447,0,0,0.829787234042553
results/kwangwoon.ac.kr,537,0.264432029795158,0.0502793296089385,0,0,0.638733705772812,0,0.0465549348230911,0.314711359404097
results/kwasu.edu.ng,98,0.969387755102041,0,0,0,0,0,0.0306122448979592,0.969387755102041
results/kyokyo-u.ac.jp,258,0.387596899224806,0.612403100775194,0,0,0,0,0,1
results/kyoto-su.ac.jp,18,0.777777777777778,0.111111111111111,0,0,0.0555555555555556,0,0.0555555555555556,0.888888888888889
results/kyukyo-u.ac.jp,16,0.75,0.0625,0,0,0,0,0.1875,0.8125
results/kyungil.ac.kr,26,0.615384615384615,0.0769230769230769,0,0,0.0769230769230769,0,0.230769230769231,0.692307692307692
results/kyushu-u.ac.jp,615,0.88780487804878,0.040650406504065,0.0032520325203252,0,0.0260162601626016,0.0032520325203252,0.0422764227642276,0.931707317073171
results/lacollege.edu,13,0.0769230769230769,0.230769230769231,0,0,0.461538461538462,0,0.230769230769231,0.307692307692308
results/lafayette.edu,378,0.156084656084656,0.476190476190476,0,0,0.0158730158730159,0,0.351851851851852,0.632275132275132
results/laverne.edu,47,0.148936170212766,0.446808510638298,0,0,0.234042553191489,0,0.170212765957447,0.595744680851064
results/lbhc.edu,6,0.333333333333333,0,0,0,0.5,0,0.166666666666667,0.333333333333333
results/lbwcc.edu,9,0.111111111111111,0.222222222222222,0,0,0.555555555555556,0,0.111111111111111,0.333333333333333
results/lenoircc.edu,31,0.709677419354839,0.0645161290322581,0,0,0.161290322580645,0,0.064516129032258,0.774193548387097
results/lfc.edu,5,0.8,0,0,0,0,0,0.2,0.8
results/limkokwing.edu.my,4,0.5,0,0,0,0,0,0.5,0.5
results/lincoln.ac.uk,1250,0.012,0.0088,0,0,0.0616,0,0.9176,0.0208
results/littlepriest.edu,4,0.25,0,0,0,0.25,0,0.5,0.25
results/liuc.it,54,0.277777777777778,0.111111111111111,0,0,0.611111111111111,0,0,0.388888888888889
results/liu.se,723,0.495159059474412,0.147994467496542,0,0,0.236514522821577,0,0.120331950207469,0.643153526970954
results/lka.lt,13,0.384615384615385,0.153846153846154,0,0,0,0,0.461538461538461,0.538461538461539
results/llu.edu,219,0.246575342465753,0.159817351598174,0,0,0.0867579908675799,0,0.506849315068493,0.406392694063927
results/lntu.edu.cn,75,0.0266666666666667,0.0666666666666667,0,0,0.0933333333333333,0,0.813333333333333,0.0933333333333333
results/losmedanos.edu,3,0,0,0,0,1,0,0,0
results/lr.edu,53,0.0754716981132075,0.509433962264151,0,0,0.283018867924528,0,0.132075471698113,0.584905660377358
results/lunn.sci-nnov.ru,5,0.4,0,0,0,0.6,0,0,0.4
results/macalester.edu,1166,0.380789022298456,0.072041166380789,0,0,0.144082332761578,0,0.403087478559177,0.452830188679245
results/maimonides.edu.ar,132,0.545454545454545,0,0,0,0,0,0.454545454545455,0.545454545454545
results/manchester.ac.uk,4180,0.462200956937799,0.0217703349282297,0.000717703349282297,0,0.497846889952153,0,0.0174641148325358,0.484688995215311
results/manor.edu,8,0.5,0.375,0,0,0,0,0.125,0.875
results/manuu.ac.in,2,1,0,0,0,0,0,0,1
